activity,budget,effortLevel,indoorOrOutdoor,dayNight,numberOfPeople,region,imageAddress,location,locationHyperlink,description,cost,timing,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Any,link,linkHyperlink,Sporty,Artsy,Groovy,Musical,Outdoorsy,Relaxing,Party,Chill,DateNight
Free salsa class,Free,Medium,Indoor,Night,Any,Sydney CBD,https://www.salsarepublic.com.au/wp-content/uploads/2019/06/20190606_120556.jpg,"Shark Hotel, Sydney CBD",https://maps.app.goo.gl/zJrj1ht9bz18Gvi39,Shake off the workday with a free one-hour beginner salsa class — no experience (or fancy footwork) required,Free,Mondays and Wednesdays at 6pm,1,0,1,0,0,0,0,1,Click here for more information,https://www.sydneysalsaclasses.com.au/free-beginners-class,0,0,1,0,0,0,0,0,1
Improv comedy workshop,$$,Medium,Indoor,Night,Any,Sydney CBD,https://images.squarespace-cdn.com/content/v1/644368b95ac5a22eeb608cd3/68c93952-20d1-499d-9e05-c6f06489abf8/DSC00180.JPG,"The Abercrombie Hotel, Chippendale",https://maps.app.goo.gl/kLGkxSTCpQwbtrmY7,"Try a beginner improv class - with a different theme each week gives you new ways to build your improv skills, think on your feet and have a laugh",$25,Wednesdays at 6:30pm,0,0,1,0,0,0,0,1,Click here for more information,https://www.eventbrite.com.au/e/comedy-class-improvisation-2026-tickets-1978556731445?aff=oddtdtcreator,0,0,0,0,0,0,0,0,0
Pottery wheel throwing taster session,$$$,Medium,Indoor,Night,Any,Inner West,https://cdn.broadsheet.com.au/cache/25/a8/25a85ed285eecf1c2eee2c964abb1c6e.jpg,Clay Sydney Marrickville Studio,https://maps.app.goo.gl/XFq2JAajmZoFuHtH7,Wheel throwing taster session - you make any piece that you like which is fired and ready for you to pick up around 5 weeks later.,$95,"Thursdays, Fridays and Saturdays",0,0,0,1,1,1,0,1,Click here for more information,https://claysydney.com/products/wheel-taster,0,1,0,0,0,0,0,1,1
Queer linedancing,$,Medium,Indoor,Night,Any,Inner West,https://assets.sbs.com.au/89/25/3f3559e646c7bc731308657a2f18/line-dancing-v1-00-02-07-17-still006.jpg,"Sydney Portugal Community Club, Marrickville",https://maps.app.goo.gl/a8auaQwhuhSqxez96,Beginner-friendly weekly queer line dancing class,$20,Tuesdays at 7pm,0,1,0,0,0,0,0,1,Click here for more information,https://linktr.ee/saddleclub,0,0,1,0,0,0,1,0,0
Irish dancing beginner course,$$$,High,Indoor,Night,Any,Western Sydney,https://static1.squarespace.com/static/5cb33a490490792734575f9f/t/644fc24d33dec7361cb52f56/1682948690768/Penrith+Gaels+Maher+Lenihan+Irish+Dance_Sydney+Australia_Senior+dancers.jpg?format=1500w,Kennedy Dance School Studio,https://maps.app.goo.gl/gh3tmJ7sbgte2pqr9,"10-week Adult Irish dance course design for first timers - no dance experience required, teach the basic first steps of light, heavy and ceili dancing at a nice easy pace.",$175,Mondays at 6:30pm,1,0,0,0,0,0,0,1,Click here for more information,https://www.kennedydanceschool.com/adults,0,0,1,0,0,0,0,0,0
Salsa social night,Free,Medium,Indoor,Night,Any,Sydney CBD,https://www.salsavida.com/wp-content/uploads/2026/03/guateque-cuban-party-in-sydney-64497-01.webp,"Pontoon Bar, Barangaroo",https://maps.app.goo.gl/LcVyyMANnUehpL82A,"Weekly salsa event starting at 7:30 with a salsa class for both beginners and experienced dancers, with the dance floor opening from 8:30pmwith a rotating lineup of guest DJs",Free,Thursdays at 7:30pm,0,0,0,1,0,0,0,1,,,0,0,1,0,0,0,1,0,0
Makerspace workshop,$$,Medium,Indoor,Night,Two people,Sydney CBD,https://res.cloudinary.com/cityofsydney/image/upload/v1786422102/k7h9gk6i1z6d/68AdmJ7H2nTzYw7KUzA43s/f010a320-953a-11f1-98c3-03b8b1e72db0--Lasercutter-August-10--2022-HighRes-AbrilFelman-01996.jpg,"Darling Square Library, Haymarket",https://maps.app.goo.gl/kMD1qwnsRBCnSGy2A,"The makerspace hosts hands-on workshops providing the opportunity to create and learn using equipment including 3D printers, a soldering iron and a laser cutter.",$40,See link for session times,0,1,0,0,0,0,0,1,Click here for more information,https://www.cityofsydney.nsw.gov.au/talks-courses-workshops/makerspace-workshops-ideas-lab,0,1,0,0,0,0,0,1,0
Irish music session,$,Medium,Indoor,Night,Any,Inner West,https://scontent.fsyd14-1.fna.fbcdn.net/v/t1.6435-9/44934578_1363398870457981_6642829464919080960_n.jpg?stp=dst-jpg_tt6&cstp=mx1600x778&ctp=s1600x778&_nc_cat=108&ccb=1-7&_nc_sid=cc71e4&_nc_ohc=SUBpkA6ewPIQ7kNvwHajHC5&_nc_oc=AdpZcpo4FIikNYyohcBYURgbW9fkaKxXyU8WCF2jt72XoRC-WSNZg5hjPZbNzA9jl5YIR6qLlCBMHyl1v4H4gZjD&_nc_zt=23&_nc_ht=scontent.fsyd14-1.fna&_nc_gid=TKT7jeFwUzbxOSO-KQbrKA&_nc_ss=7b2a8&oh=00_AQF8yg3CpTbFju84_aNzQQjFRSJvrZu77raiVK7bZuKI9A&oe=6AAA6C93,Addison Rd Community Centre,https://maps.app.goo.gl/CJTu8CVgPug8VPgS8,Sessions where musicians can learn a new Irish Folk tune each week at a pace that suits beginners and intermediate players (melody instruments only),$10,Sundays at 5:30pm,0,0,0,0,0,0,1,1,Click here for more information,https://www.bushmusic.org.au/bmc_music_irish.shtml,0,0,0,1,0,0,0,0,0
Sing sea shanties at the pub,Free,Low,Indoor,Night,Any,Inner West,https://southsydneyherald.com.au/wp-content/uploads/2025/09/06.3.MUSIC_Caption-Redfern-Shanty-Club_Photo-Nigel-Pennington_WEB-696x522.jpg,"Arcadia Bar, Redfern",https://maps.app.goo.gl/gv8TADmybowCxknP9,Weekly club for singing sea shanties  - good singing abilities are optional (good vibes are a must),Free,Mondays at 8:30pm,1,0,0,0,0,0,0,1,Click here for more information,https://www.instagram.com/redfernshantyclub/,0,0,0,1,0,0,1,0,0
Underwater hockey,$,High,Indoor,Night,Any,Western Sydney,https://thelowell.org/wp-content/uploads/2019/03/UNDERWATER-HOCKEY-900x599.jpg,Ryde Aquatic Leisure Centre,https://maps.app.goo.gl/jh1hnVsmBBDucyBD8,Sydney Underwater Hockey welcomes players from complete beginners right through to state representatives. We run weekly sessions at Ryde Aquatic Leisure Centre,$7.10,Fridays at 7:30pm,0,0,0,0,1,0,0,1,Click here for more information,https://nswunderwaterhockey.com/clubs/sydney,1,0,0,0,0,0,0,0,0
Intro to fencing lesson,$,Medium,Indoor,Night,Any,Inner West,https://theswordsclub.org/wp-content/uploads/2021/01/131128934_3645987558781218_3393863747215812667_o.jpg,Redfern Town Hall,https://maps.app.goo.gl/qnxfwTR7pK1GHqVE9,"Weekly in-person fencing class - classes are friendly and inclusive, designed for fencers of all levels of skill and fitness",$15,Wednesdays at 7:00pm,0,0,1,0,0,0,0,1,Click here for more information,https://theoldswordclub.com/fencing/,1,0,0,0,0,0,0,0,0
Beginner archery class,$$,Medium,Outdoor,Day,Any,Western Sydney,https://www.ellaslist.com.au/system/venues/featured_images/000/005/912/original/archery_centre.jpg?1615918736,"Archery Centre, Sydney Olympic Park",https://maps.app.goo.gl/e47YiHUjctNju3K79,Beginner archery class giving the necessary skills to shoot a bow and arrow in a fun and social environment,$30,"Saturdays and Sundays, see link for times",0,0,0,0,0,1,1,1,Click here for more information,https://www.sydneyolympicpark.nsw.gov.au/things-to-see-and-do/bronze-arrow-session-beginner,1,0,0,0,0,0,0,0,0
Live drawing session,$,Medium,Indoor,Night,Any,Sydney CBD,https://static.where-e.com/Australia/Gladdy-Drawing-Club-Life-Drawing-With-Total-Bore-And-Noni-Cragg_fc1feeedb3d16b39ebb24fefe7b1e019.jpg,"The Lord Gladstone Hotel, Chippendale",https://maps.app.goo.gl/9vTn9uXwNsg1YZZZ9,"Live drawing class with an atmosphere is more of an art club than a formal class. Great place to have a yarn with Sydney’s best artists, designers, animators, architects and more – while working on your drawing practice in a warm and uncompetitive setting.",$22,"Tuesdays, 6pm and 8pm",0,1,0,0,0,0,0,1,Click here for more information,https://totalbore.com/,0,1,0,0,0,1,0,0,0
Movie in a vintage cocktail parlour,Free,Low,Indoor,Night,Any,Sydney CBD,"https://res.cloudinary.com/cityofsydney/image/upload/f_auto/c_fill,h_960,w_1200/v1784606502/k7h9gk6i1z6d/BMgDGHTA93cTEOwzp66OV/4e33c2e0-84b8-11f1-9610-c31f74a632e1--Dulcies-Feb26-Credit-Jorge-Santos-72.jpg",Dulcie's King Cross,https://maps.app.goo.gl/SGCgacmmDSGo9uG19,"Dulcie's transforms its underground Kings Cross cocktail bar into Dulcie's Picture House for a cosy night of cult classics, fan favourites and timeless films. Complimentary popcorn with each drink order.",Free (+ cost of drinks),Tuesdays at 6:30pm,0,1,0,0,0,0,0,1,Click here for more information,https://whatson.cityofsydney.nsw.gov.au/events/dulcies-picture-house-movies-in-a-vintage-cocktail-parlour,0,0,0,0,0,1,0,1,1
Mushroom foraging,$$,Medium,Outdoor,Day,Any,South Coast,https://assets.atdw-online.com.au/images/ccd29981907c738b87818ef24b4e029c.jpeg?rect=114%2C0%2C1820%2C1365&w=1600&h=1200&&rot=360&q=eyJ0eXBlIjoibGlzdGluZyIsImxpc3RpbmdJZCI6IjY3ODViMjkwOWZiMjhjODExNGRjNTlhZCIsImRpc3RyaWJ1dG9ySWQiOiI1NmIxZWI5MzQ0ZmVjYTNkZjJlMzIwYzgiLCJhcGlrZXlJZCI6IjU2YjFlZTU5MGNmMjEzYWQyMGRjNTgxOSJ9,Mittagong,https://maps.app.goo.gl/HQaVcXzHLXC9BGLj6,"Old railway tunnel in the Southern Highlands transformed into a working underground mushroom farm, with regular mushroom picking trips",$39,"Wednesdays, Fridays and Sundays, see link for times",0,0,1,0,1,0,1,1,Click here for more information,https://wollondillytours.rezdy.com/681377/mittagong-mushroom-tunnel-tour,0,0,0,0,1,1,0,0,0
